Customer Review Final,Emotion Encoded
"[""alhamdulillah"", ""fungsi"", ""packaging"", ""aman"", ""respon"", ""cepat"", ""ramah"", ""seller"", ""kurir"", ""amanah""]",2
"[""barang"", ""bagus"", ""respon"", ""cepat"", ""harga"", ""saing""]",2
"[""barang"", ""bagus"", ""fungsi"", ""seler"", ""ramah"", ""kirim"", ""cepat""]",2
"[""bagus"", ""sesuai"", ""harap"", ""jual"", ""nya"", ""ramah"", ""terima"", ""kasih"", ""lapak""]",2
"[""barang"", ""bagus"", ""emas"", ""aman"", ""fungsi""]",2
"[""barang"", ""bagus"", ""seller"", ""ramah""]",2
"[""mantap"", ""paten"", ""joss""]",2
"[""works"", ""fine"", ""respon"", ""seller"", ""cepat"", ""barang"", ""fungsi"", ""recommended""]",2
"[""barang"", ""bagus"", ""segel"", ""utuh"", ""original"", ""fungsi"", ""seller"", ""respon"", ""nya"", ""hebat"", ""cepat"", ""amir"", ""kasih"", ""saran"", ""pas"", ""butuh"", ""mantabbb""]",2
"[""barang"", ""fungsi"", ""bagus"", ""kali"", ""lampu"", ""biru""]",2
"[""kirim"", ""super"", ""cepat"", ""barang"", ""bagus"", ""recommended"", ""seller"", ""terima"", ""kasih""]",2
"[""alhamdulillah"", ""barang"", ""coba"", ""bagus"", ""moga"", ""awet"", ""terima"", ""kasih"", ""seller"", ""kurir"", ""tokopedia""]",2
"[""jual"", ""amanah"", ""responsif"", ""kabel"", ""fungsi"", ""kirim"", ""cepat"", ""terima"", ""kasih""]",2
"[""alhamdulillah"", ""barang"", ""pakai"", ""moga"", ""fungsi"", ""awet"", ""kurir"", ""moga"", ""rezeki"", ""lancar""]",2
"[""bagus"", ""jalan"", ""silent"", ""kokoh"", ""muat"", ""laptop"", ""inch""]",2
"[""packing"", ""aman"", ""kirim"", ""cepat"", ""barang"", ""fungsi""]",2
"[""produk"", ""kualitasny"", ""good"", ""produk"", ""konsumen"", ""kondisi"", ""sesuai"", ""sih"", ""harga"", ""sok"", ""overall"", ""good""]",2
"[""barang"", ""ya"", ""juragan"", ""fungsi"", ""terima"", ""kasih""]",2
"[""barang"", ""mantap"", ""sesuai"", ""deskripsi"", ""laptop"", ""adem"", ""sejuk""]",2
"[""produk"", ""terima"", ""kondisi"", ""terima"", ""kasih""]",2
"[""belanja"", ""kali"", ""puas"", ""kirim"", ""lumayan"", ""cepat"", ""overall"", ""bagus""]",2
"[""kualitas"", ""barang"", ""bagus"", ""harga"", ""relatif"", ""murah"", ""kirim"", ""super"", ""cepat"", ""response"", ""jual"", ""recommended"", ""seller"", ""bintang"", ""terima"", ""kasih"", ""ya"", ""moga"", ""sukses"", ""usaha"", ""nya"", ""amin""]",2
"[""mantap"", ""barang"", ""nya"", ""oke""]",2
"[""kirim"", ""cepat"", ""packing"", ""rapi"", ""kualitas"", ""mantap""]",2
"[""silent"", ""bagus"", ""kerja"", ""ringan""]",2
