Customer Review Final,Emotion Encoded
"[""alhamdulillah"", ""berfungsi"", ""packaging"", ""aman"", ""respon"", ""cepat"", ""ramah"", ""seller"", ""kurir"", ""amanah""]",2
"[""barang"", ""bagus"", ""respon"", ""cepat"", ""harga"", ""bersaing"", ""yg""]",2
"[""barang"", ""bagus"", ""berfungsi"", ""seler"", ""ramah"", ""pengiriman"", ""cepat""]",2
"[""bagus"", ""sesuai"", ""harapan"", ""penjual"", ""nya"", ""ramah"", ""trimakasih"", ""pelapak""]",2
"[""barang"", ""bagus"", ""pengemasan"", ""aman"", ""berfungsi""]",2
"[""barang"", ""bagus"", ""seller"", ""ramah""]",2
"[""mantap"", ""paten"", ""joss""]",2
"[""works"", ""fine"", ""respon"", ""seller"", ""cepat"", ""barang"", ""berfungsi"", ""recommended""]",2
"[""barang"", ""bagus"", ""segel"", ""utuh"", ""original"", ""berfungsi"", ""bener"", ""seller"", ""respon"", ""nya"", ""ajib"", ""cepat"", ""amir"", ""uda"", ""gt"", ""kasi"", ""sarannya"", ""pas"", ""banget"", ""lg"", ""kebutuhan"", ""mantabbb""]",2
"[""barang"", ""berfungsi"", ""bagus"", ""kali"", ""lampu"", ""birunya""]",2
"[""pengiriman"", ""super"", ""cepat"", ""barang"", ""bagus"", ""recommended"", ""seller"", ""thanks""]",2
"[""alhamdulillah"", ""barangnya"", ""udah"", ""nyampe"", ""d"", ""coba"", ""bagus"", ""semoga"", ""awet"", ""terima"", ""kasih"", ""seller"", ""kurir"", ""tokopedia""]",2
"[""penjual"", ""amanah"", ""responsif"", ""kabel"", ""berfungsi"", ""pengiriman"", ""cepat"", ""terima"", ""kasih""]",2
"[""alhamdulillah"", ""barang"", ""dipakai"", ""semoga"", ""berfungsi"", ""awet"", ""kurirnya"", ""smoga"", ""rezekinya"", ""lancar""]",2
"[""bagus"", ""berjalan"", ""silent"", ""kokoh"", ""muat"", ""laptop"", ""inch""]",2
"[""packing"", ""aman"", ""pengiriman"", ""cepat"", ""barang"", ""berfungsi""]",2
"[""produknya"", ""kualitasny"", ""good"", ""banget"", ""produk"", ""konsumen"", ""kondisi"", ""sesuai"", ""sih"", ""harga"", ""so"", ""overall"", ""very"", ""good""]",2
"[""barang"", ""udah"", ""ya"", ""gan"", ""berfungsi"", ""terima"", ""kasih""]",2
"[""barang"", ""mantap"", ""sesuai"", ""deskripsi"", ""laptop"", ""adem"", ""n"", ""sejuk""]",2
"[""produk"", ""terima"", ""kondisi"", ""terima"", ""kasih""]",2
"[""belanja"", ""kalinya"", ""puas"", ""pengiriman"", ""lumayan"", ""cepat"", ""overall"", ""bagus"", ""banget""]",2
