Customer Review Final,Emotion Encoded
"[""alhamdulillah"", ""fungsi"", ""baik"", ""packaging"", ""aman"", ""respon"", ""cepat"", ""ramah"", ""seller"", ""kurir"", ""amanah""]",2
"[""barang"", ""bagus"", ""respon"", ""cepat"", ""harga"", ""saing"", ""yg""]",2
"[""barang"", ""bagus"", ""fungsi"", ""baik"", ""seler"", ""ramah"", ""kirim"", ""cepat""]",2
"[""bagus"", ""sesuai"", ""harap"", ""jual"", ""nya"", ""ramah"", ""trimakasih"", ""lapak""]",2
"[""barang"", ""bagus"", ""emas"", ""aman"", ""fungsi"", ""baik""]",2
"[""barang"", ""bagus"", ""seller"", ""ramah""]",2
"[""mantap"", ""paten"", ""joss""]",2
"[""works"", ""fine"", ""respon"", ""seller"", ""cepat"", ""barang"", ""fungsi"", ""baik"", ""recommended""]",2
"[""barang"", ""bagus"", ""segel"", ""utuh"", ""original"", ""fungsi"", ""bener"", ""seller"", ""respon"", ""nya"", ""ajib"", ""cepat"", ""amir"", ""uda"", ""gt"", ""kasi"", ""saran"", ""pas"", ""banget"", ""lg"", ""butuh"", ""mantabbb""]",2
"[""barang"", ""fungsi"", ""baik"", ""bagus"", ""kali"", ""lampu"", ""biru""]",2
"[""kirim"", ""super"", ""cepat"", ""barang"", ""bagus"", ""recommended"", ""seller"", ""thanks""]",2
"[""alhamdulillah"", ""barang"", ""udah"", ""nyampe"", ""d"", ""coba"", ""bagus"", ""moga"", ""awet"", ""terima"", ""kasih"", ""seller"", ""kurir"", ""tokopedia""]",2
"[""jual"", ""amanah"", ""responsif"", ""kabel"", ""fungsi"", ""baik"", ""kirim"", ""cepat"", ""terima"", ""kasih""]",2
"[""alhamdulillah"", ""barang"", ""pakai"", ""moga"", ""fungsi"", ""baik"", ""awet"", ""kurir"", ""baik"", ""smoga"", ""rezeki"", ""lancar""]",2
"[""bagus"", ""jalan"", ""baik"", ""silent"", ""kokoh"", ""muat"", ""laptop"", ""inch""]",2
"[""packing"", ""aman"", ""kirim"", ""cepat"", ""barang"", ""fungsi"", ""baik""]",2
"[""produk"", ""baik"", ""kualitasny"", ""good"", ""banget"", ""produk"", ""konsumen"", ""kondisi"", ""baik"", ""sesuai"", ""sih"", ""harga"", ""so"", ""overall"", ""very"", ""good""]",2
"[""barang"", ""udah"", ""ya"", ""gan"", ""fungsi"", ""terima"", ""kasih""]",2
"[""barang"", ""mantap"", ""sesuai"", ""deskripsi"", ""laptop"", ""adem"", ""n"", ""sejuk""]",2
"[""produk"", ""terima"", ""kondisi"", ""baik"", ""terima"", ""kasih""]",2
"[""belanja"", ""kali"", ""puas"", ""kirim"", ""lumayan"", ""cepat"", ""overall"", ""bagus"", ""banget""]",2
"[""kualitas"", ""barang"", ""bagus"", ""harga"", ""relatif"", ""murah"", ""kirim"", ""super"", ""cepat"", ""response"", ""jual"", ""baik"", ""recommended"", ""seller"", ""bintang"", ""terima"", ""kasih"", ""yah"", ""moga"", ""sukses"", ""usaha"", ""nya"", ""aamiin""]",2
"[""mantab"", ""barang"", ""nya"", ""oke""]",2
"[""kirim"", ""cepat"", ""packing"", ""rapi"", ""kualitas"", ""mantap""]",2
"[""silent"", ""bagus"", ""kerja"", ""ringan""]",2
"[""barang"", ""cepat"", ""kualitas"", ""bagus"", ""kirim"", ""aman"", ""tidak"", ""pecah"", ""manstapu""]",2
"[""bagus"", ""kualitas"", ""sesuai"", ""gbr"", ""makasih"", ""seller"", ""tokped"", ""kurir""]",2
"[""mantap"", ""kipas"", ""kenceng"", ""barang"", ""kualitas"", ""sesuai"", ""harga""]",2
"[""mantap"", ""proses"", ""kerja"", ""kirim"", ""barang"", ""sesuai"", ""deskripsi""]",2
"[""mantap"", ""kipas"", ""kenceng"", ""barang"", ""kualitas"", ""sesuai"", ""harga""]",2
"[""jual"", ""ramah"", ""layan"", ""beli"", ""sabar"", ""saran"", ""beli"", ""tidak"", ""mantap""]",2
"[""barang"", ""cepat"", ""packingnya"", ""rapi"", ""tidak"", ""acrylic"", ""pecah"", ""fungsi"", ""baik"", ""moga"", ""awet""]",2
"[""presisi"", ""pas""]",2
"[""puas"", ""banget"", ""seller"", ""helpfull"", ""responsif"", ""cepet"", ""banget"", ""nya"", ""recomended""]",2
"[""mantappp"", ""responnya"", ""muas"", ""coba"", ""pasang"", ""presisi"", ""nyaman"", ""cas"", ""responsif""]",2
"[""mantap"", ""barang"", ""cepet"", ""enak"", ""digunainnya""]",2
"[""barang"", ""bagus"", ""oke"", ""cepat"", ""kirim""]",2
"[""kirim"", ""cepat"", ""seller"", ""responsif""]",2
