Customer Review,Emotion
warnanya pekat. penjualnya ramah banget. desainnya lucu. packaging aman ??. packaging rapi. respon penjualnya top. proses pesanan cepat. desainnya mewah. aplikator mudah dipakai. cocok di kulit kering. cocok di kulit berminyak.,2
"barangnya bagus, cuman agak berdebu aja.",2
"lumayan lah buat harian, kualitas sesuai harga..",2
"bagus, sesuai ekspektasi.",2
"mantab, pengiriman cepat, bahan tebal tapi tidak panas, jahitan rapi, harga murah.",2
alhamdulillah barang sudah sampai di rumah saya sangat senang sekali terimakasih banyak,2
"bagus barangnya, cocok untuk latihan sticking ... ini untuk anak saya",2
produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,2
"bagus halus, ringan, teleskopik gagangnya jadi terasa kurang kokoh dibanding gagang biasa.",2
"alhamdulillah memuaskan, walau sempet kehabisan stok tapi gamasalah diganti sama model lain juga bagus, kualitasnya mantap, pelayanan juga ramah, mungkin respon nya aja perlu di tingkatkan lagi",2
sesuai order n deskripsi,2
alhamdulillah berfungsi dengan baik. packaging aman. respon cepat dan ramah. seller dan kurir amanah,2
pengiriman cepat dan barang bagus dan murah,2
jahitannya rapi. warnanya cantik ??. bahannya lembut. ukuran sesuai. nyaman dipakai ?. modelnya cantik ??. bahannya adem.,2
berfungsi dengan baik. kualitas sesuai harga. penjualnya ramah banget. proses pesanan cepat. respon penjualnya top.,2
packing rapih terimakasih,2
nyaman dipakai yoga ??. produk sesuai ekspektasi.,2
kualitas produk bagus.,2
pengiriman cepat dan barang diterima dalam kondisi baik,2
"bahan halus, ketebalan seperti batik pada umumnya, motif keren. akan lebih baik lagi kalo respon chatnya lebih responsif",2
terima kasih... brang bagus harga murah cepet lagi cod lagi... siip ????,2
model dan warna aku suka tp pemasangan sedikit ribet moga ja awet,2
bagus barang nya,2
mantap ori,2
proses pesanan cepat. kualitas sesuai harga. berfungsi dengan baik.,2
barang ok. worth the money. pengiriman ok. yang jelas itu amiibo card sesuai dengan layered armor yang didapatkan. jadi ok. dont be afraid.,2
"so far barang yg aku terima bagus no cacat, tp barang ini agak cacat di covernya, kynya dr pengiriman karena pas sampe packingnya dah kebuka gak tau kynya di sobek buat ngeliat isinya sm si kurir atau gmna jdnya bukunya kegesek huhu sedih sih tp untungnya cm cover doang gk sampe ke dalem",2
"mantap, nyaman dipake, bahan premium, semoga awet dan selalu diskon harganya",2
produk original. barang sesuai deskripsi. bahan tebal. keren..,2
bahannya nyaman ??. nyaman di punggung. desain ergonomis. beban tersebar merata. proses pesanan cepat,2
"kualitas kokoh. slot cartridge-nya terbuat dari karet, jadi gampang masukinnya dan ga bikin cartridgenya lecet, ukurannya juga compact bgt, gampang dibawa kemana-mana dan ga menuh-menuhin tempat. motifnya juga bukan cuma gambar atau stiker, tapi bener2 timbul dari bahan karet",2
barang sesuai dengan gambar. harga murah tapi kualitas ga murahan. pengiriman nya cepet. oke bgt deh puass,2
cepat........ harga oke... sesuai pesanan.,2
pengirimannya cepat. packingannya bgs,2
barang sesuai pesanan,2
"pengiriman cepat, harga murah. bahan sesuai harga",2
"pesanan dah sampai, barangnya original ??. barangnya mulus. warna sesuai pesanan. proses pesanan cepat. packaging rapi. packaging aman ??. bisa fast charging. kurir juga cepat, trims ya",2
fast response sponge nya juga bagus satu sisinya kasar material produk bagus.,2
"respon cepat, gosend ke pamulang cepat, dapat diandalkan tepat saat dibutuhkan, kualitas okeee bgt untuk harga segitu, hasil juga cukup memuaskan, thank youuu",2
barangnya original ??. kemasan disegel. proses pesanan cepat. respon penjualnya top.,2
solusi untuk yang pingin punya smart tv tanpa harus beli smart tv. barang berfungsi seperti seharusnya.,2
desainnya cantik ??. warnanya cantik ??. kualitas produk bagus ??.,2
"dapat flash sale 1000 dapat sekotak isi 12.. murah bangettttt.... produk bagus.. sesuai deskripsi, pengiriman cepat, packing aman... terima kasih seller n toped..",2
"selalu pilih daily masker onemed, tapi packing dan pengiriman harus lebih dipercepat lagi. top pokoknya. terimakasih",2
puas dengan barangnya,2
"pengemasan barang baik, kondisi barang jg utuh tanpa cacat, berfungsi normal dan lancar, respon dan servis dari seler juga baik",2
bagus simple cuma menurut saya kurang keras suaranya... tapi bagus ??,2
"pas, bermanfaat jadi rapi dapurnya.",2
warnanya cantik ??. ukuran sesuai. bahannya lembut. maaf foto nya pocketnya aja. sajadahnya sedang dicuci.,2
peking aman dan rapi.. puas,2
ukurannya sesuai. bahannya adem. produk sesuai dengan foto. warnanya cantik ??.,2
produk sesuai pesanan baik bentuk maupun warnanya semuanya berfungsi normal,2
"alhamdulillah paketan datang dgn cepat dan penjualannya ramah , semoga tambah sukses",2
berfungsi dengan baik di korea,2
admin super responsif. cartridge berfungsi dengan baik. sayang bgt cuma bisa ngasih 5 bintang,2
"bisa muat sampai ukuran kaki no 42. suami saya suka, ga tebel ga tipis, nyaman, lembut, positive",2
"bahan jepitnya bagus, awet dipake gak mudah rusak",2
"terima kasih paketnya sudah sampai.. barangnya bagus banget, sesuai dengan foto, dan muat pakai baju ini.. senang banget ???????? ramah orangnya juga ??",2
"mantab, lilinya sesuai makasih ya",2
alhamdulilah jilbabnya bagus nggak nerawang dapat diskon juga dari tokped makasii seller,2
murah meriah tp bagus.. nyaman dipakai.. tulisan jg terlihat lebih rapih..,2
"sesuai, ada kendala awalnya, tapi terselesaikan dengan cepat dan tanpa repot",2
packing rapi. proses pengiriman cepat.,2
respon penjualnya top. proses pesanan cepat. packaging rapi. packaging aman ??. penjualnya ramah banget.,2
"suara yang dihasilkan jernih. kalau ditambahkan kit giga bass tambah glerr, ditambah lg preeamp mic 2 tr bisa buat karaoke",2
pengiriman cepat dan buku aman,2
mantap sesuai pesanan trimakasih,2
"packing rapi, barang lumayan...",2
"kali ke 2 pesen kaos kaki disini, bahan bagus dan enak banget dipakai. harga super terjangkau dan pengiriman cepat",2
respon baik mutu lumayan hrg terjangkau,2
"buku sedikit cacat di bagian kertas, tapi overall mantap",2
safety packaging.. terima kasih banyak.. semoga awet.. top seller..,2
"mantap barang ori, packing oke, harga promo muraj, sering sering aja promo ya",2
bagus dan rapi. pengiriman juga cepat.,2
proses pesanan cepat packaging aman ??,2
hasilnya tahan lama. desainnya mewah.,2
lampunya terang. pas di kepala. produk yang diterima lengkap.,2
"memuaskan banget. pembelian ke2 ke korea, beli pertama ke vietnam... selalu puas, lgs konek bgt nyampe tempat tujuan...",2
"mantap, pas sih walau agak goyang2 ga lengket ke galon, tpi speed air keluar cukup, mulutnya mungkin yah agak kurang panjang dikit",2
"kualitas ok, respond penjual cepat sekali",2
"pemrosesan serta pengiriman produk cepat, padahal bukan di daerah jabodetabek. produk diterima dengan sempurna, 3 buah micro usb data cable kualitas premium, dan ada bonus kartu perdana smartfren. trims",2
"paket sudah diterima dan di test, lancar tanpa macet, pokoknya recommended buat yang byari printer connect cash drawer, ya panda aja, setting nya jg gampang",2
pengemasan cepat dan datang nya juga cepat. thank you seller and kurir,2
buahnya bagus... kurirnya ok sellernya juga ok,2
sudah dipasang & bagus deh....,2
paket telah sampai.... sesuai hargalah,2
mantulllll....?????? tidak memicu alergi. menggunakan bahan alami. aman untuk bayi ??. tanpa bahan pengawet.,2
trimkasih bonus nya,2
cepet banget proses kirimnya. pelayanan terbaik,2
"sim card ok, mudah dipasang dan mudah langsung di gunakan",2
"sudah beberapa kali belanja disini dan tidak pernah mengecewakan, baik pelayanan maupun produk dan packaging nya. barang sesuai dengan yang di request + original. packaging nya bagus, dengan bubble wrap yang tebal juga dilapisi kardus, jadi aman deh selama pengiriman.",2
"bahan bagus , hanya di bagian jahitan mudah lepas",2
"istri saya suka sekali, motif hewannya bagus tidak terlihat seperti sablon murahan, katanya pakai singlet aja gausah pake baju juga terlihat bagus. packing rapi, pengiriman cepat",2
pengiriman lama. cuma penjualnya responsif. blm bisa kasih bintang 5,2
bagus cat nya mantab dah,2
"barang sesuai gambar, packing rapi, pengiriman cepat",2
trima kasih szsdrum barang sdh sampai. sukses terus szsdrum. ??????,2
"respon dan pengiriman cepat, prduk ok, harga juga relatif murah� thx ya",2
hasilnya bagus dan sangat memuaskan terimakasih tokopedia.??????,2
material produk bagus. kualitas produk bagus. ukuran produk sesuai. produk original.,2
"awet banget ni strap nya, enak juga tebel, jadi ga takut putus",2
alhamdulillah untuk pengiriman yang kedua tidak pecah dan aman sampai tujuan ????,2
semoga cepat awet barang sesuai,2
"packing super aman, dan rapih. per kaleng, per 1 kardus yg di lapisi bubble wrap tebal pada kaleng nya, lalu kardus dijadikan 1. awalnya sempat ragu, aman ga pesan susu pakai jasa kirim reguler, karna biasa pakai instant, dan ternyata alhamdulillah ga penyok sama sekali pesan 2 kaleng. sukses selalu seller.",2
